,Year,AMOC,AMOC_lwr,AMOC_upr
0,900.0,0.6950906061218346,0.027329916358374142,1.363163161648365
1,901.0,0.6955556509301538,0.02778391698765156,1.3636230817310169
2,902.0,0.6959774598973278,0.028194954238173232,1.3640398966241696
3,903.0,0.6963589316804649,0.02856589021602682,1.364416487180845
4,904.0,0.6967049917495711,0.02890161642486653,1.3647577624626106
5,905.0,0.6970206736927231,0.029207136772153995,1.3650687416185288
6,906.0,0.6973096731670284,0.02948611973484396,1.3653531070537475
7,907.0,0.6975736212815783,0.02974017097513227,1.3656124776307068
8,908.0,0.6978118509762711,0.02996859977468283,1.365846175126548
9,909.0,0.6980214711995482,0.030168493630981612,1.366051298518989
10,910.0,0.6981976675435461,0.030335019763102652,1.3662230249122698
11,911.0,0.6983341701810377,0.030461894432966305,1.3663550780711011
12,912.0,0.698423806547824,0.030541937254738773,1.366440281893082
13,913.0,0.698459042712278,0.030567614032180255,1.366471102528918
14,914.0,0.6984324387601591,0.030531493331920255,1.3664401043691743
15,915.0,0.698336984714398,0.03042658369238988,1.3663402865806702
16,916.0,0.6981662960348836,0.030246531164855654,1.3661652795588146
17,917.0,0.6979145953264179,0.02998560432701473,1.3659093281707118
18,918.0,0.6975763239475388,0.02963831100102215,1.3655669057188144
19,919.0,0.6971451871723562,0.0291984522664742,1.3651317632096187
20,920.0,0.696612388411315,0.028657374576039375,1.3645951720390104
21,921.0,0.6959635423375944,0.02800091938999891,1.363942854570734
22,922.0,0.6951734441069063,0.02720425775309598,1.363149784617853
23,923.0,0.6941998649643649,0.02622575945319253,1.3621740179752058
24,924.0,0.6929928987300196,0.02501620657524511,1.3609659735763084
25,925.0,0.6904216843199145,0.022444716671383792,1.3583947747468088
26,926.0,0.6877468452795432,0.01976985461593356,1.3557200482508793
27,927.0,0.6850834431067044,0.01710644659958559,1.3530567485777143
28,928.0,0.6825306330760744,0.01455351687754368,1.350503972086487
29,929.0,0.6801552925038201,0.012177805719856067,1.3481285280034394
30,930.0,0.6779921890393036,0.010013931323299273,1.3459651057791673
31,931.0,0.6760516615547805,0.008072123701071495,1.344023984944918
32,932.0,0.6743283607644707,0.006347018218961653,1.3422998044938743
33,933.0,0.672808172118173,0.0048246011931740275,1.3407784994322325
34,934.0,0.6714721461317933,0.003486121179597382,1.339441222993968
35,935.0,0.670297477861534,0.0023090127220506533,1.3382652976713232
36,936.0,0.6692565023495491,0.0012658201096353266,1.3372231721135308
37,937.0,0.6683148881456741,0.00032233076175085533,1.3362805808578815
38,938.0,0.6674299328243652,-0.000564155442620838,1.335394823805257
39,939.0,0.666549630030349,-0.0014457417050073964,1.3345138413950326
40,940.0,0.6656131423621638,-0.002383405917477781,1.333576717634246
41,941.0,0.6645532513257199,-0.0034444770096230676,1.3325161714574005
42,942.0,0.6633009346717575,-0.004697995199013423,1.331263169937343
43,943.0,0.6617913792959405,-0.006208675170938065,1.3297529555256846
44,944.0,0.65996995385711,-0.00803095986731281,1.3279310041111738
45,945.0,0.6577969206747476,-0.010204377233942836,1.325757697874218
46,946.0,0.6552515118974696,-0.01274954755643772,1.3232123539427836
47,947.0,0.6523376233874433,-0.015662547691543096,1.320298885711643
48,948.0,0.6490916958133583,-0.018907032060728655,1.3170536835838735
49,949.0,0.6455889171893812,-0.022407980280240186,1.3135518460632365
50,950.0,0.6419418223298688,-0.026053030577316744,1.3099058160894268
51,951.0,0.638288753005911,-0.029703967495502526,1.3062538683179081
52,952.0,0.6347749158300643,-0.033215637710474574,1.3027411795783368
53,953.0,0.6315312930145214,-0.036457036715608675,1.2994987402447329
54,954.0,0.6286562548220332,-0.03932971231063809,1.2966249588771395
55,955.0,0.6262029195857065,-0.04178043467198583,1.2941730079814582
56,956.0,0.6241731332704274,-0.04380725925981174,1.29214478256321
57,957.0,0.6225179479787423,-0.045459094896997114,1.2904913541791962
58,958.0,0.621144979493022,-0.046828373548365984,1.2891203132833666
59,959.0,0.6199324945650189,-0.048036950375206146,1.287909862762895
60,960.0,0.6187474273686916,-0.049218044087286625,1.2867268573693618
61,961.0,0.6174629495611539,-0.05049862586395997,1.285444395151285
62,962.0,0.6159732141772581,-0.05198465582077004,1.2839565703719344
63,963.0,0.6142057698606369,-0.05374866188371,1.2821908903530175
64,964.0,0.6121322096178639,-0.05581908406519616,1.2801189301324534
65,965.0,0.6097755994708995,-0.05817284239857327,1.2777637704593705
66,966.0,0.6072123925319792,-0.06073343356481797,1.2752019168720485
67,967.0,0.6045679113964254,-0.06337547161276583,1.2725587763775918
68,968.0,0.6020061965729983,-0.06593486199722795,1.269998488557848
69,969.0,0.5997154870389723,-0.06822333526146082,1.2677093796362693
70,970.0,0.597890439547143,-0.0700462394217875,1.2658861506114496
71,971.0,0.5967127425900314,-0.071221944296599,1.2647104631077772
72,972.0,0.5963332364287813,-0.07159974370705936,1.264333045267644
73,973.0,0.5968599536745645,-0.07107182117656659,1.264861743093467
74,974.0,0.5983559311366747,-0.06957540364231699,1.2663593730516776
75,975.0,0.6008469317154416,-0.06708495998407402,1.268851506014021
76,976.0,0.6043338330715518,-0.06359975310014694,1.2723389492102286
77,977.0,0.6088018697914488,-0.05913466476218377,1.276807144041925
78,978.0,0.6142218434502312,-0.05371898949528251,1.282227364615324
79,979.0,0.6205443048587861,-0.04740227180442476,1.2885508111601192
80,980.0,0.627692124397402,-0.040261778577488506,1.2957010705419252
81,981.0,0.6355573852708966,-0.03240563624583734,1.3035709045722454
82,982.0,0.6440055573945318,-0.023968653810540627,1.3120263447161054
