,Year,AMOC
0,708.0,3.1195177402726757
1,709.0,3.1156991139031556
2,710.0,3.11187387102423
3,711.0,3.1080398974296086
4,712.0,3.1041958266878926
5,713.0,3.1003420004653672
6,714.0,3.096480803532585
7,715.0,3.092616723781798
8,716.0,3.0887562148810668
9,717.0,3.084907306003717
10,718.0,3.0810789840139026
11,719.0,3.0772805143338533
12,720.0,3.073520889905186
13,721.0,3.069808467309474
14,722.0,3.066150693563208
15,723.0,3.062553781222904
16,724.0,3.059022245894099
17,725.0,3.055558296534544
18,726.0,3.0521611338701056
19,727.0,3.0488262250836167
20,728.0,3.0455444643172513
21,729.0,3.0423006478971546
22,730.0,3.03906984583475
23,731.0,3.0358086405890043
24,732.0,3.0324357863568845
25,733.0,3.0296695282797237
26,734.0,3.0268590832635494
27,735.0,3.023990882508654
28,736.0,3.0210831701110736
29,737.0,3.0181787281430448
30,738.0,3.0153364667760494
31,739.0,3.0126227864254744
32,740.0,3.0101009912250873
33,741.0,3.0078201515568104
34,742.0,3.0058078695888093
35,743.0,3.0040697939990015
36,744.0,3.002593314707142
37,745.0,3.0013505099761213
38,746.0,3.000299928233224
39,747.0,2.9993912614206706
40,748.0,2.9985744815394066
41,749.0,2.997810703194458
42,750.0,2.997080235497676
43,751.0,2.996384089322598
44,752.0,2.995739871987313
45,753.0,2.995175393271524
46,754.0,2.994722520090569
47,755.0,2.9944136814382762
48,756.0,2.994281722940415
49,757.0,2.9943600461373028
50,758.0,2.994680133330094
51,759.0,2.9952686023908774
52,760.0,2.99614811064471
53,761.0,2.9973416502662666
54,762.0,2.998875054964364
55,763.0,3.0007739559415962
56,764.0,3.0030555023277
57,765.0,3.0057179922152972
58,766.0,3.0087327984410956
59,767.0,3.0120428456501083
60,768.0,3.015570747716664
61,769.0,3.0192378151679224
62,770.0,3.022987102650488
63,771.0,3.0267950713129235
64,772.0,3.030662674994835
65,773.0,3.034594783069757
66,774.0,3.0385812658297824
67,775.0,3.042587633265071
68,776.0,3.046562357518234
69,777.0,3.0504533888013996
70,778.0,3.054216728454368
71,779.0,3.0578139304893486
72,780.0,3.0612064145200906
73,781.0,3.0643506628865165
74,782.0,3.0671951210450916
75,783.0,3.0696797874657697
76,784.0,3.071739506892123
77,785.0,3.0733109097492335
78,786.0,3.0743416668675394
79,787.0,3.0748000424618063
80,788.0,3.0746823032356136
81,789.0,3.0740155288740687
82,790.0,3.0728542585898353
83,791.0,3.0712716088807226
84,792.0,3.0693483595945508
85,793.0,3.0671642230887923
86,794.0,3.064793419602604
87,795.0,3.062303295864043
88,796.0,3.059752449428278
89,797.0,3.0571861646846386
90,798.0,3.0546314361784215
91,799.0,3.052095732401933
92,800.0,3.0495710807337795
93,801.0,3.0470414170717315
94,802.0,3.0444900589744224
95,803.0,3.041905758704019
96,804.0,3.0392868518196985
97,805.0,3.036643401418337
98,806.0,3.0339976208182655
99,807.0,3.0313831556880655
100,808.0,3.0288437542330096
101,809.0,3.0264314401994254
102,810.0,3.0242041419522874
103,811.0,3.0222227761578075
104,812.0,3.0205478647572828
105,813.0,3.0192359024000806
106,814.0,3.0183359259557405
107,815.0,3.017886697406451
108,816.0,3.0179143929951837
109,817.0,3.01842984461938
110,818.0,3.0194239859341
111,819.0,3.020861875644028
112,820.0,3.0226788611085156
113,821.0,3.024783326153027
114,822.0,3.0270668718622322
115,823.0,3.0294177874784274
116,824.0,3.0317323903136058
117,825.0,3.0339220166593823
118,826.0,3.0359166692147173
119,827.0,3.037667147476221
120,828.0,3.039146569118846
121,829.0,3.040351137287053
122,830.0,3.0412999399452407
123,831.0,3.042033630976544
124,832.0,3.0426120597862147
125,833.0,3.043111253437187
126,834.0,3.0436198880770444
127,835.0,3.0442334179995454
128,836.0,3.045041955608602
129,837.0,3.046111851034078
130,838.0,3.0474698145061496
131,839.0,3.04910149586847
132,840.0,3.0509644751259004
133,841.0,3.0530014186497367
134,842.0,3.055148607310573
135,843.0,3.0573416342456827
136,844.0,3.059520573805303
