pred,lwr,upr,lwr_50,upr_50,Longitude,Latitude,SiteName,linear_rate,linear_rate_err,data_type_id,Age,section,section_index
-0.035930758769952206,-0.15339332641958792,0.08799710403205563,-0.0764309681164662,0.004282366336826885,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,3,East,1
-0.03655383885094802,-0.1515571188784559,0.08381670856504618,-0.0764355607614178,0.003023299116761915,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,28,East,1
-0.03660984744610412,-0.15140147727707198,0.08260601731943316,-0.07692332415010951,0.0031108888245280153,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,33,East,1
-0.03660984744610412,-0.15140147727707198,0.08260601731943316,-0.07692332415010951,0.0031108888245280153,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,33,East,1
-0.03650246439370054,-0.14700511926113244,0.07633020686749199,-0.07627959791197864,0.0032558085861354048,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,63,East,1
-0.03650246439370054,-0.14700511926113244,0.07633020686749199,-0.07627959791197864,0.0032558085861354048,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,63,East,1
-0.03570328273149899,-0.1421091142153755,0.07187425519930116,-0.07399001845585564,0.0029396080880698845,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,93,East,1
-0.03570328273149899,-0.1421091142153755,0.07187425519930116,-0.07399001845585564,0.0029396080880698845,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,93,East,1
-0.03430697557825701,-0.13720154611944607,0.07030854218746185,-0.07110917174682807,0.002018752819831653,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,123,East,1
-0.03430697557825701,-0.13720154611944607,0.07030854218746185,-0.07110917174682807,0.002018752819831653,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,123,East,1
-0.03240821605273213,-0.1334833846149991,0.06855790944051873,-0.0678638513976706,0.004177456590016841,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,153,East,1
-0.03240821605273213,-0.1334833846149991,0.06855790944051873,-0.0678638513976706,0.004177456590016841,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,153,East,1
-0.03010167727368185,-0.1310645452305866,0.06973772380130798,-0.06525208545678744,0.006267619824844821,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,183,East,1
-0.03010167727368185,-0.1310645452305866,0.06973772380130798,-0.06525208545678744,0.006267619824844821,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,183,East,1
-0.02748203235986372,-0.12923714147274126,0.07158695570285087,-0.0628124968771368,0.008756549182649637,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,213,East,1
-0.02748203235986372,-0.12923714147274126,0.07158695570285087,-0.0628124968771368,0.008756549182649637,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,213,East,1
-0.0254167846594138,-0.12796999333332948,0.0733804323378314,-0.06060661926790405,0.01045485479630049,-5.1,58.4,"Loch Laxford,
 Scotland",0.056235909131077205,0.03284948098070488,ProxyRecord,235,East,1
-0.024643954430035253,-0.12767381848448062,0.07391245012205103,-0.05969765515456432,0.010989366718342282,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,243,East,1
-0.024643954430035253,-0.12767381848448062,0.07391245012205103,-0.05969765515456432,0.010989366718342282,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,243,East,1
-0.024643954430035253,-0.12767381848448062,0.07391245012205103,-0.05969765515456432,0.010989366718342282,-5.1,58.4,"Loch Laxford,
 Scotland",0.056235909131077205,0.03284948098070488,ProxyRecord,243,East,1
-0.021676224781012852,-0.12400378854925116,0.07568854824552745,-0.056730244183588324,0.01313459788896648,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,273,East,1
-0.021676224781012852,-0.12400378854925116,0.07568854824552745,-0.056730244183588324,0.01313459788896648,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,273,East,1
-0.021676224781012852,-0.12400378854925116,0.07568854824552745,-0.056730244183588324,0.01313459788896648,-5.1,58.4,"Loch Laxford,
 Scotland",0.056235909131077205,0.03284948098070488,ProxyRecord,273,East,1
-0.018574948892253782,-0.1209502601745173,0.07772324760612223,-0.05363592388148628,0.015451790803390784,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,303,East,1
-0.018574948892253782,-0.1209502601745173,0.07772324760612223,-0.05363592388148628,0.015451790803390784,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,303,East,1
