pred,lwr,upr,lwr_50,upr_50,Longitude,Latitude,SiteName,linear_rate,linear_rate_err,data_type_id,Age,section
-0.053674222951222476,-0.6656578311135319,0.5616693894365676,-0.2659128756003658,0.1660540314402608,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,3,East
-0.028264692547215142,-0.5863802930373206,0.5349976562157606,-0.2248208076916363,0.16765545923617492,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,28,East
-0.023440921607299377,-0.5806388554373128,0.5348057285313501,-0.21792242021290326,0.17112384181323306,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,33,East
-0.023440921607299377,-0.5806388554373128,0.5348057285313501,-0.21792242021290326,0.17112384181323306,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,33,East
0.0036947583572021162,-0.5515099398721247,0.5660793890415061,-0.18599492954500604,0.19333910479855307,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,63,East
0.0036947583572021162,-0.5515099398721247,0.5660793890415061,-0.18599492954500604,0.19333910479855307,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,63,East
0.02773281698526134,-0.5432806475772481,0.5881578893841807,-0.16604701452147952,0.21928449074739315,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,93,East
0.02773281698526134,-0.5432806475772481,0.5881578893841807,-0.16604701452147952,0.21928449074739315,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,93,East
0.0486732542262102,-0.536752561404898,0.6227037000355362,-0.14045573045034962,0.24147152541300948,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,123,East
0.0486732542262102,-0.536752561404898,0.6227037000355362,-0.14045573045034962,0.24147152541300948,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,123,East
0.06651607005484317,-0.4939877078345882,0.6282522288747115,-0.1229469317794188,0.25141854338655517,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,153,East
0.06651607005484317,-0.4939877078345882,0.6282522288747115,-0.1229469317794188,0.25141854338655517,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,153,East
0.08126126446171222,-0.440492337293709,0.6316680221815918,-0.09787115629123676,0.26167840636030604,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,183,East
0.08126126446171222,-0.440492337293709,0.6316680221815918,-0.09787115629123676,0.26167840636030604,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,183,East
0.0929088375624535,-0.40022565244268865,0.5961542825189069,-0.06711127698469374,0.25708815832081044,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,213,East
0.0929088375624535,-0.40022565244268865,0.5961542825189069,-0.06711127698469374,0.25708815832081044,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,213,East
0.09948168066921304,-0.3591712643842558,0.5535252320468698,-0.0510729832701756,0.2524622251733796,-5.1,58.4,"Loch Laxford,
 Scotland",0.056235909131077205,0.03284948098070488,ProxyRecord,235,East
0.10145878923946439,-0.3395908298653854,0.5337826367351087,-0.0472262338100413,0.25048531501239507,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,243,East
0.10145878923946439,-0.3395908298653854,0.5337826367351087,-0.0472262338100413,0.25048531501239507,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,243,East
0.10145878923946439,-0.3395908298653854,0.5337826367351087,-0.0472262338100413,0.25048531501239507,-5.1,58.4,"Loch Laxford,
 Scotland",0.056235909131077205,0.03284948098070488,ProxyRecord,243,East
0.10777860102083481,-0.32050559496172726,0.5174690431681114,-0.0337398091045491,0.2571471260979679,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,273,East
0.10777860102083481,-0.32050559496172726,0.5174690431681114,-0.0337398091045491,0.2571471260979679,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,273,East
0.10777860102083481,-0.32050559496172726,0.5174690431681114,-0.0337398091045491,0.2571471260979679,-5.1,58.4,"Loch Laxford,
 Scotland",0.056235909131077205,0.03284948098070488,ProxyRecord,273,East
0.1155997394174166,-0.32736314623069934,0.5450867508410656,-0.026499224797988614,0.27215174705138195,-22.4,64.8,"Vioarholmi,
 Iceland",0.5767182888400064,0.015828834166185236,ProxyRecord,303,East
0.1155997394174166,-0.32736314623069934,0.5450867508410656,-0.026499224797988614,0.27215174705138195,-8.4,54.8,"Bracky Bridge,
 Ireland",0.7502288079250127,0.033078914515867225,ProxyRecord,303,East
0.1155997394174166,-0.32736314623069934,0.5450867508410656,-0.026499224797988614,0.27215174705138195,-5.1,58.4,"Loch Laxford,
 Scotland",0.056235909131077205,0.03284948098070488,ProxyRecord,303,East
